,nurse_id,name,dob,phone,address,salary
0,nur11040576,Salsabila Wijaya,1987-04-11,(012) 110 1966,"Gang Cikapayang No. 1
Mataram, SS 33604",6000000
1,nur26016597,Tgk. Bella Wacana,1991-01-20,+62-0318-287-4290,"Gg. Indragiri No. 759
Bengkulu, YO 01603",10000000
2,nur71907567,Kalim Oktaviani,1988-06-26,+62 (485) 329 9414,"Gang Jayawijaya No. 36
Sukabumi, Sulawesi Utara 63533",10000000
3,nur87769289,Uli Najmudin,1992-09-27,0884043706,"Jl. Tubagus Ismail No. 11
Sungai Penuh, KR 20184",6000000
4,nur92838604,"drg. Puspa Wibowo, S.Farm",1985-12-15,+62 (074) 776-6232,"Jl. Jayawijaya No. 8
Pangkalpinang, SU 66828",10000000
5,nur80701477,Farah Rahmawati,1989-02-26,+62-30-197-4399,"Jl. Suniaraja No. 647
Bukittinggi, RI 62912",8000000
6,nur33350639,R.M. Cengkir Hutagalung,1993-02-09,+62-0066-127-1282,"Gang Waringin No. 07
Purwokerto, Nusa Tenggara Timur 32927",7000000
7,nur89854020,H. Laswi Wacana,1995-04-04,+62 (0198) 747 5717,"Gang K.H. Wahid Hasyim No. 46
Blitar, Sumatera Utara 43143",5000000
8,nur15693211,Yani Yulianti,1987-02-15,+62 (180) 091-6848,"Gg. PHH. Mustofa No. 806
Sawahlunto, Nusa Tenggara Timur 89625",5000000
9,nur95057293,Purwanto Rajata,1997-02-14,(0382) 954-0169,"Gang Raya Setiabudhi No. 335
Kendari, BA 28944",8000000
10,nur39077325,"Diah Iswahyudi, M.Farm",1987-12-05,+62 (306) 253-5310,"Gg. Jakarta No. 9
Tegal, DKI Jakarta 01537",8000000
11,nur38760006,Eko Fujiati,1989-07-08,+62-016-891-3043,"Gg. Jend. Sudirman No. 57
Subulussalam, Sulawesi Tengah 32380",8000000
12,nur97042341,Ida Permata,2000-04-10,+62-070-095-2810,"Jl. Jamika No. 67
Palu, JA 76425",7000000
13,nur07037443,Yahya Novitasari,2000-07-13,(063) 308-4192,"Jl. Cihampelas No. 0
Kota Administrasi Jakarta Utara, Jawa Timur 04004",9000000
14,nur79351782,Legawa Nuraini,1987-10-26,+62 (30) 813 0310,"Jalan Siliwangi No. 64
Sukabumi, SB 86075",8000000
15,nur64390383,"drg. Calista Namaga, S.Psi",1987-12-19,082 532 9885,"Jl. Rungkut Industri No. 563
Palembang, Kepulauan Bangka Belitung 61707",5000000
16,nur27150283,"Ana Prakasa, M.TI.",1990-05-15,(0251) 629 2458,"Jl. Sadang Serang No. 500
Bitung, Sumatera Utara 66378",8000000
