,customer_id,name,dob,phone,address
0,cus18157000,Opung Haryanto,1989-01-08,(0292) 524-9162,"Gg. Sadang Serang No. 2
Solok, SG 02916"
1,cus75285753,Dr. Balijan Novitasari,1984-01-02,+62 (056) 690-1469,"Gang Rajiman No. 23
Palangkaraya, ST 59651"
2,cus27353189,Latif Iswahyudi,1990-10-23,084 288 1589,"Jl. Gedebage Selatan No. 2
Mojokerto, AC 40154"
3,cus73711407,Harja Budiman,1986-11-24,080 642 3554,"Jl. Yos Sudarso No. 52
Lhokseumawe, Sulawesi Selatan 63928"
4,cus99243432,"Cut Puti Nasyiah, S.Kom",1980-03-27,0821100616,"Gang Cihampelas No. 26
Bitung, GO 92599"
5,cus38181566,Dt. Jaya Hasanah,1986-03-25,+62 (038) 481-7684,"Jl. Pasirkoja No. 1
Yogyakarta, Kepulauan Riau 95121"
6,cus31739986,"R. Mala Oktaviani, S.IP",1997-08-23,(0665) 805-1714,"Jl. Dr. Djunjunan No. 55
Lhokseumawe, ST 78928"
7,cus30446847,Juli Yuniar,1980-08-17,(089) 493-9658,"Gang Monginsidi No. 09
Pasuruan, BE 84798"
8,cus13766917,Novi Kusmawati,2000-02-03,+62 (758) 104 6091,"Jl. Suryakencana No. 49
Kota Administrasi Jakarta Selatan, MU 34222"
9,cus05122714,Oliva Dabukke,1990-02-11,(012) 481-8415,"Jl. Asia Afrika No. 303
Kota Administrasi Jakarta Barat, SU 09305"
10,cus31555890,Sakti Laksita,1983-01-14,+62 (69) 788-3346,"Jl. Surapati No. 97
Langsa, JT 70102"
11,cus45618093,Respati Susanti,1981-03-27,+62 (097) 306-3008,"Jalan Cikutra Timur No. 416
Gorontalo, Sulawesi Tenggara 53701"
12,cus34949733,Nadia Sihombing,2000-12-16,+62 (0063) 974-3441,"Gg. Cempaka No. 6
Tomohon, SG 23818"
13,cus19023908,Simon Waskita,1992-06-20,+62 (16) 212 6416,"Jl. Cikutra Barat No. 39
Tasikmalaya, Maluku Utara 14558"
14,cus99573775,"Hj. Vicky Marbun, S.Psi",1993-10-12,+62 (023) 434-5999,"Jl. Setiabudhi No. 21
Surakarta, SU 91549"
15,cus09455276,drg. Laila Mayasari,1980-05-25,0834655027,"Gang Sukabumi No. 13
Subulussalam, AC 69045"
16,cus25609936,KH. Usman Hakim,1997-12-12,+62 (63) 045-6856,"Gang PHH. Mustofa No. 478
Bogor, DI Yogyakarta 22759"
17,cus24804837,Maimunah Wasita,1989-12-30,(0315) 746-6311,"Jl. Jend. Sudirman No. 14
Sibolga, Kepulauan Bangka Belitung 59509"
18,cus58430385,Janet Irawan,1994-11-03,+62-094-826-1775,"Jalan M.T Haryono No. 985
Lhokseumawe, Sulawesi Utara 87864"
19,cus41385593,Gilda Irawan,1988-08-15,+62 (96) 985 4151,"Gg. Ir. H. Djuanda No. 98
Kota Administrasi Jakarta Timur, Kalimantan Selatan 05822"
20,cus83007941,Karen Saputra,1988-08-02,+62 (0421) 881-0011,"Gg. Gardujati No. 0
Banjarbaru, KI 94963"
21,cus14953965,Belinda Adriansyah,1996-01-16,+62 (015) 705 0984,"Gg. Dipenogoro No. 48
Samarinda, Sumatera Selatan 65555"
22,cus84489661,Dimaz Sirait,1995-01-18,+62-009-378-1024,"Jl. Abdul Muis No. 511
Ambon, Nusa Tenggara Barat 13241"
23,cus02499864,Dariati Hasanah,1985-03-10,+62 (01) 627 4236,"Jalan Jamika No. 685
Salatiga, PB 98822"
24,cus73609483,Hilda Hastuti,1999-05-08,0808397889,"Gang Laswi No. 34
Probolinggo, Jawa Tengah 23220"
25,cus94134230,Pranata Manullang,2000-10-09,(059) 547-7426,"Jl. Cikapayang No. 1
Madiun, Riau 75473"
26,cus04893134,Lidya Zulaika,1997-02-22,+62-077-166-5805,"Jalan Gardujati No. 011
Pematangsiantar, Kalimantan Barat 46287"
27,cus57155777,"Oliva Januar, S.E.I",1982-10-04,081 409 3984,"Jl. Yos Sudarso No. 332
Gorontalo, KR 06740"
28,cus46076892,"R.A. Sakura Wulandari, M.M.",1995-06-15,+62-35-406-0875,"Gang Rawamangun No. 5
Kediri, PA 96235"
29,cus47892132,Karya Hariyah,1990-03-10,+62 (945) 841 0694,"Jalan KH Amin Jasuta No. 99
Tanjungbalai, PA 91113"
